Year,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_of_Fire,Type_of_Death,Impunity_for_Murder,Taken_Captive,Threatened,Tortured,Link
2015,12-May-15,Ananta Bijoy Das,Male,Bangladesh,Freelance,Bangladesh,"Print, Internet","Internet Reporter, Print Reporter","Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/ananta-bijoy-das.php
2015,"May 2,3 or 4, 2015",Armando Salda_a Morales,Male,Mexico,La Ke Buena 100.9 FM,Mexico,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
",https://www.cpj.org/killed/2015/armando-saldana-morales.php
2015,1-May-15,Firas al-Baher,Male,Iraq,Nineveh al-Ghad,Iraqi,Television,"Producer, Technician",Politics,No,Local,Political Group,Murder,Yes,Yes,No,"No
",https://www.cpj.org/killed/2015/firas-al-baher.php
2015,30-Apr-15,John Kituyi,Male,Kenya,Mirror Weekly,Kenyan,Print,"Editor, Publisher",Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/john-kituyi.php
2015,29-Apr-15,Daud Ali Omar,Male,Somalia,Radio Baidoa,Somalia,Television,"Broadcast, Producer","Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2015/daud-ali-omar.php
2015,26-Apr-15,Thaer Al-Ali,Male,Iraq,Rai al-Nas,Iraq,Print,Editor,"Corruption, Crime, Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"No
",https://www.cpj.org/killed/2015/thaer-al-ali.php
2015,22-Apr-15,Muftah al-Qatrani,Male,Libya,Al-Anwar,Libya,Television,"Broadcast, Editor, Producer",War,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/muftah-al-qatrani.php
2015,20-Apr-15,Mohamed Shamsan,Male,Yemen,Yemen Today,Yemen,Television,Broadcast,"Culture, Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2015/mohamed-shamsan.php
2015,16-Apr-15,Humam Najjar (Abu Yazan al-Halabi),Male,Syria,Aleppo Today,Syria,"Television, Internet","Broadcast, Internet Reporter","Human Rights, War",No,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/humam-najjar-abu-yazan-al-halabi.php
2015,16-Apr-15,Soleil Balanga,Male,Democratic Republic of the Congo,Radio Monkoto Soso Aleli,Democratic Republic of the Congo,Radio,Broadcast,"Culture, Politics",No,Local,Local Residents,Murder,No,No,No,"No
",https://www.cpj.org/killed/2015/soleil-balanga.php
